CDU_FIELD_NAME,CENSUS_CELLNAME,TOPIC,CATEGORY,TOPIC_DESCRIPTION,
F89829,TT0130948,Socio-economic Classification (NS-SeC),Class 5 (Lower supervisory and technical occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89829,TT0130948,Ethnic group (England and Wales),Black or Black British \ Caribbean,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89829,TT0130948,Unit,People,The unit is for a particular count (e.g. people or households),
F89830,TT0130949,Ethnic group (England and Wales),Black or Black British \ African,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89830,TT0130949,Socio-economic Classification (NS-SeC),Class 5 (Lower supervisory and technical occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89830,TT0130949,Unit,People,The unit is for a particular count (e.g. people or households),
F89831,TT0130950,Socio-economic Classification (NS-SeC),Class 5 (Lower supervisory and technical occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89831,TT0130950,Unit,People,The unit is for a particular count (e.g. people or households),
F89831,TT0130950,Ethnic group (England and Wales),Black or Black British \ Other Black,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89832,TT0130951,Unit,People,The unit is for a particular count (e.g. people or households),
F89832,TT0130951,Ethnic group (England and Wales),Chinese or Other Ethnic Group \ Chinese,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89832,TT0130951,Socio-economic Classification (NS-SeC),Class 5 (Lower supervisory and technical occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89833,TT0130952,Unit,People,The unit is for a particular count (e.g. people or households),
F89833,TT0130952,Ethnic group (England and Wales),Chinese or Other Ethnic Group \ Other Ethnic Group,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89833,TT0130952,Socio-economic Classification (NS-SeC),Class 5 (Lower supervisory and technical occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89835,TT0130954,Unit,People,The unit is for a particular count (e.g. people or households),
F89835,TT0130954,Ethnic group (England and Wales),White \ British,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89835,TT0130954,Socio-economic Classification (NS-SeC),Class 6 (Semi-routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89836,TT0130955,Ethnic group (England and Wales),White \ Irish,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89836,TT0130955,Socio-economic Classification (NS-SeC),Class 6 (Semi-routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89836,TT0130955,Unit,People,The unit is for a particular count (e.g. people or households),
F89837,TT0130956,Ethnic group (England and Wales),White \ Other White,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89837,TT0130956,Unit,People,The unit is for a particular count (e.g. people or households),
F89837,TT0130956,Socio-economic Classification (NS-SeC),Class 6 (Semi-routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89842,TT0130961,Ethnic group (England and Wales),Asian or Asian British \ Indian,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89842,TT0130961,Socio-economic Classification (NS-SeC),Class 6 (Semi-routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89842,TT0130961,Unit,People,The unit is for a particular count (e.g. people or households),
F89843,TT0130962,Ethnic group (England and Wales),Asian or Asian British \ Pakistani,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89843,TT0130962,Unit,People,The unit is for a particular count (e.g. people or households),
F89843,TT0130962,Socio-economic Classification (NS-SeC),Class 6 (Semi-routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89844,TT0130963,Ethnic group (England and Wales),Asian or Asian British \ Bangladeshi,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89844,TT0130963,Socio-economic Classification (NS-SeC),Class 6 (Semi-routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89844,TT0130963,Unit,People,The unit is for a particular count (e.g. people or households),
F89845,TT0130964,Unit,People,The unit is for a particular count (e.g. people or households),
F89845,TT0130964,Ethnic group (England and Wales),Asian or Asian British \ Other Asian,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89845,TT0130964,Socio-economic Classification (NS-SeC),Class 6 (Semi-routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89846,TT0130965,Ethnic group (England and Wales),Black or Black British \ Caribbean,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89846,TT0130965,Socio-economic Classification (NS-SeC),Class 6 (Semi-routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89846,TT0130965,Unit,People,The unit is for a particular count (e.g. people or households),
F89847,TT0130966,Ethnic group (England and Wales),Black or Black British \ African,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89847,TT0130966,Unit,People,The unit is for a particular count (e.g. people or households),
F89847,TT0130966,Socio-economic Classification (NS-SeC),Class 6 (Semi-routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89848,TT0130967,Ethnic group (England and Wales),Black or Black British \ Other Black,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89848,TT0130967,Socio-economic Classification (NS-SeC),Class 6 (Semi-routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89848,TT0130967,Unit,People,The unit is for a particular count (e.g. people or households),
F89849,TT0130968,Ethnic group (England and Wales),Chinese or Other Ethnic Group \ Chinese,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89849,TT0130968,Unit,People,The unit is for a particular count (e.g. people or households),
F89849,TT0130968,Socio-economic Classification (NS-SeC),Class 6 (Semi-routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89850,TT0130969,Ethnic group (England and Wales),Chinese or Other Ethnic Group \ Other Ethnic Group,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89850,TT0130969,Socio-economic Classification (NS-SeC),Class 6 (Semi-routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89850,TT0130969,Unit,People,The unit is for a particular count (e.g. people or households),
F89852,TT0130971,Socio-economic Classification (NS-SeC),Class 7 (Routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89852,TT0130971,Ethnic group (England and Wales),White \ British,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89852,TT0130971,Unit,People,The unit is for a particular count (e.g. people or households),
F89853,TT0130972,Socio-economic Classification (NS-SeC),Class 7 (Routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89853,TT0130972,Ethnic group (England and Wales),White \ Irish,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89853,TT0130972,Unit,People,The unit is for a particular count (e.g. people or households),
F89854,TT0130973,Socio-economic Classification (NS-SeC),Class 7 (Routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89854,TT0130973,Ethnic group (England and Wales),White \ Other White,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89854,TT0130973,Unit,People,The unit is for a particular count (e.g. people or households),
F89859,TT0130978,Ethnic group (England and Wales),Asian or Asian British \ Indian,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89859,TT0130978,Unit,People,The unit is for a particular count (e.g. people or households),
F89859,TT0130978,Socio-economic Classification (NS-SeC),Class 7 (Routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89860,TT0130979,Unit,People,The unit is for a particular count (e.g. people or households),
F89860,TT0130979,Ethnic group (England and Wales),Asian or Asian British \ Pakistani,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89860,TT0130979,Socio-economic Classification (NS-SeC),Class 7 (Routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89861,TT0130980,Unit,People,The unit is for a particular count (e.g. people or households),
F89861,TT0130980,Ethnic group (England and Wales),Asian or Asian British \ Bangladeshi,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89861,TT0130980,Socio-economic Classification (NS-SeC),Class 7 (Routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89862,TT0130981,Unit,People,The unit is for a particular count (e.g. people or households),
F89862,TT0130981,Socio-economic Classification (NS-SeC),Class 7 (Routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89862,TT0130981,Ethnic group (England and Wales),Asian or Asian British \ Other Asian,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89863,TT0130982,Socio-economic Classification (NS-SeC),Class 7 (Routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89863,TT0130982,Ethnic group (England and Wales),Black or Black British \ Caribbean,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89863,TT0130982,Unit,People,The unit is for a particular count (e.g. people or households),
F89864,TT0130983,Socio-economic Classification (NS-SeC),Class 7 (Routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89864,TT0130983,Unit,People,The unit is for a particular count (e.g. people or households),
F89864,TT0130983,Ethnic group (England and Wales),Black or Black British \ African,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89865,TT0130984,Ethnic group (England and Wales),Black or Black British \ Other Black,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89865,TT0130984,Socio-economic Classification (NS-SeC),Class 7 (Routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89865,TT0130984,Unit,People,The unit is for a particular count (e.g. people or households),
F89866,TT0130985,Socio-economic Classification (NS-SeC),Class 7 (Routine occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89866,TT0130985,Ethnic group (England and Wales),Chinese or Other Ethnic Group \ Chinese,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
